experiment_id,scope,main_question,best_result,key_conclusion,keep_for_v3,artifact_ref
rec_window_scan,Recommendation,Which single DCS window best supports calcium/bromine recommendation?,"50 min best by composite score in the local 45/50/55/60/65 scan; 60 min slightly best on calcium MAE alone","Use 50 min only as a V3 starting prior; rerun window search after rebuilding candidate features and point sets",yes,"dev/artifacts/local_peak_focus_window_size_experiment_summary.json"
multiscale_window,Recommendation,Does direct multi-scale feature concatenation beat a single window?,"15+30, 15+45, 15+60, 20+60 did not outperform the better single-window baselines","Do not assume multi-scale concatenation is automatically helpful",yes,"dev/artifacts/multiscale_window_experiment_summary.json"
ph_lag_scan,PH augmentation,Does a single global PH lag explain T90 well?,"No stable global optimum inside the expected 180-270 min band","PH should not be treated as a universal fixed-lag main signal",yes,"dev/artifacts/ph_lag_experiment_summary.json"
stage_identifier,Recommendation plus PH,Can 50 min DCS define reusable stages for conditional PH use?,"3 stages was the best practical choice; PH(120 min) helped some stages","Stage structure is only a medium-confidence prior because it depended on legacy feature screening",yes,"dev/artifacts/stage_identifier_experiment_summary.json"
stage_aware_proto,Recommendation,Does stage-aware optional PH improve recommendation quality?,"Composite score improved by about +0.0127 over the pure 50 min DCS baseline","Stage-aware optional PH is promising for recommendation, not mandatory for V3",yes,"dev/artifacts/stage_aware_prototype_summary.json"
risk_accuracy,Recommendation and risk,Can the current framework produce an over-spec risk signal and how accurate are recommendations?,"Over-spec risk ROC AUC about 0.749; recommendation accuracy degrades on out-of-spec samples","Useful reference, but do not treat this as a final industrial alert solution",yes,"dev/artifacts/risk_accuracy_experiment_summary.json"
oos_method_benchmark,Out-of-spec alert,Which same-sample alert method works best?,"single_logistic_oos had the best ROC AUC and average precision; extra trees only slightly edged F1","Prefer logistic as the probability source if V3 still explores same-sample alerting",yes,"dev/artifacts/oos_alert_method_experiment_summary.json"
oos_threshold_sweep,Out-of-spec alert,Which thresholds are plausible for low-miss or low-false-alarm modes?,"Different thresholds trade recall against false alarms sharply","Threshold policy must be tied to plant use mode, not chosen by F1 alone",yes,"dev/artifacts/logistic_balanced_oos_alert_threshold_sweep_summary.json"
oos_temporal_policy,Out-of-spec alert,Can temporal persistence logic make the alert industrially cleaner?,"Temporal policies reduced switching and chatter, but did not fundamentally solve false alarms","Use persistence as signal shaping only; do not treat it as the core breakthrough",yes,"dev/artifacts/oos_alert_temporal_policy_summary.json"
committee_methods,Out-of-spec alert,Do multiple small models plus voting outperform the best single model?,"No clear win over single logistic on ranking quality or practical usability","Do not spend V3 effort on committee methods unless the task definition changes",yes,"dev/artifacts/oos_alert_method_experiment_summary.json"
